DATE,SPCS20RSA
2000-01-01,100.58969725342101
2000-02-01,101.692479334718
2000-03-01,102.78382834889999
2000-04-01,103.99644357188
2000-05-01,105.252817791505
2000-06-01,106.40252134594
2000-07-01,107.134020724441
2000-08-01,107.86143925489701
2000-09-01,108.610140479667
2000-10-01,109.48685900445
2000-11-01,110.57170758609199
2000-12-01,111.80087280798
2001-01-01,113.05349863517401
2001-02-01,114.126858040821
2001-03-01,115.08519509039199
2001-04-01,115.84054974019399
2001-05-01,116.300741544286
2001-06-01,116.899747441566
2001-07-01,117.49660278774599
2001-08-01,118.245230805929
2001-09-01,119.02795277176901
2001-10-01,119.694048851633
2001-11-01,120.27474400116002
2001-12-01,120.672264832527
2002-01-01,121.36032119967501
2002-02-01,122.190820731881
2002-03-01,123.32147468943998
2002-04-01,124.50775105151101
2002-05-01,125.924466741112
2002-06-01,127.388475152654
2002-07-01,128.879591123004
2002-08-01,130.30728450785801
2002-09-01,131.526918239417
2002-10-01,132.846627902221
2002-11-01,134.096959135787
2002-12-01,135.405255470691
2003-01-01,136.46679870058398
2003-02-01,137.452835019616
2003-03-01,138.378837753123
2003-04-01,139.250034415599
2003-05-01,140.147001218914
2003-06-01,140.919720411431
2003-07-01,142.118880732054
2003-08-01,143.55184790441498
2003-09-01,145.261261105938
2003-10-01,146.99044052407498
2003-11-01,148.822891430245
2003-12-01,150.75894983913201
2004-01-01,152.625095078633
2004-02-01,154.53656168559
2004-03-01,156.918284343111
2004-04-01,159.35963398967502
2004-05-01,161.751176542947
2004-06-01,164.305462739332
2004-07-01,166.38716571453898
2004-08-01,168.071568171669
2004-09-01,169.65426584625098
2004-10-01,171.29695653124202
2004-11-01,173.086805434356
2004-12-01,175.086031520261
2005-01-01,177.546099677547
2005-02-01,180.24958744283
2005-03-01,183.188125934378
2005-04-01,185.514784843962
2005-05-01,187.549796117804
2005-06-01,189.530310850099
2005-07-01,191.379215518083
2005-08-01,193.367473791006
2005-09-01,195.62000915096297
2005-10-01,197.88285012780102
2005-11-01,200.148128809206
2005-12-01,202.177119487869
2006-01-01,203.771314718391
2006-02-01,205.36292363946498
2006-03-01,206.147518996582
2006-04-01,206.656025830975
2006-05-01,206.509746327393
2006-06-01,205.807317510937
2006-07-01,204.93639230412202
2006-08-01,204.111556277499
2006-09-01,203.585417552948
2006-10-01,203.549273350089
2006-11-01,203.65271563126
2006-12-01,203.475139956269
2007-01-01,203.742735251263
2007-02-01,204.070564183446
2007-03-01,203.95034672528197
2007-04-01,202.880758584976
2007-05-01,201.033435755301
2007-06-01,198.84715716578899
2007-07-01,196.84449640081502
2007-08-01,194.892764766912
2007-09-01,193.12470559586004
2007-10-01,190.979331309071
2007-11-01,187.90474385810901
2007-12-01,185.09968205249402
2008-01-01,182.13986315928298
2008-02-01,178.55030483771802
2008-03-01,175.11719031965
2008-04-01,172.44224690626598
2008-05-01,169.560111776374
2008-06-01,167.177630399533
2008-07-01,164.399690075486
2008-08-01,162.115884813715
2008-09-01,159.114286009156
2008-10-01,156.296182439588
2008-11-01,153.658798262352
2008-12-01,150.72750001204702
2009-01-01,147.715642918864
2009-02-01,145.61291692261102
2009-03-01,142.722950859502
2009-04-01,141.55912992135
2009-05-01,140.841241342783
2009-06-01,141.290859878147
2009-07-01,142.24999809922198
2009-08-01,143.476611831147
2009-09-01,144.07168585909
2009-10-01,144.79536339493401
2009-11-01,145.473525336499
2009-12-01,146.246960847915
2010-01-01,146.931420870425
2010-02-01,146.91184973275298
2010-03-01,146.231906433624
2010-04-01,147.060070896781
2010-05-01,147.26877221578002
2010-06-01,147.040182039019
2010-07-01,146.405914170319
2010-08-01,145.543614167216
2010-09-01,144.553930007964
2010-10-01,143.625953388958
2010-11-01,143.28134936378402
2010-12-01,142.96621815582
2011-01-01,142.588980034489
2011-02-01,142.04156246500298
2011-03-01,140.426599704611
2011-04-01,140.687170826648
2011-05-01,140.424056645895
2011-06-01,140.359538862444
2011-07-01,140.325013363988
2011-08-01,140.050583881663
2011-09-01,139.42337307947702
2011-10-01,138.658923478352
2011-11-01,137.941590791804
2011-12-01,137.370980512123
2012-01-01,137.143986462963
2012-02-01,136.998908751641
2012-03-01,136.624533940432
2012-04-01,137.87317949953
2012-05-01,139.449853597779
2012-06-01,141.018678752217
2012-07-01,141.965876495437
2012-08-01,142.95259054632402
2012-09-01,143.829226888444
2012-10-01,144.80603264110002
2012-11-01,145.80932650089198
2012-12-01,147.10816405236798
2013-01-01,148.327758124999
2013-02-01,149.575742226917
2013-03-01,150.967788505818
2013-04-01,153.860577293906
2013-05-01,156.002894897434
2013-06-01,157.83186502471
2013-07-01,159.605477965275
2013-08-01,161.553256911126
2013-09-01,163.286751695155
2013-10-01,164.804300785955
2013-11-01,166.012739332438
2013-12-01,166.912560545606
2014-01-01,167.85168068412
2014-02-01,168.490044537345
2014-03-01,169.19626577843098
2014-04-01,169.942420191425
2014-05-01,170.229314004359
2014-06-01,170.52872377163402
2014-07-01,170.627285455591
2014-08-01,170.955195433482
2014-09-01,171.465093850642
2014-10-01,172.39476576781001
2014-11-01,173.167710239086
2014-12-01,174.207296939339
2015-01-01,175.04355277568803
2015-02-01,176.32717950677898
2015-03-01,177.01583529696302
2015-04-01,177.738731613336
2015-05-01,178.283789614079
2015-06-01,178.828476751836
2015-07-01,179.352658587519
2015-08-01,179.97683242255002
2015-09-01,180.877821527859
2015-10-01,181.88974393726798
2015-11-01,182.996724325124
2015-12-01,183.851232574561
2016-01-01,184.678643187828
2016-02-01,185.408373396883
2016-03-01,186.20487699857102
