DATE,SPCS20RSA
2016-04-01,186.979926807134
2016-05-01,187.44557506293998
2016-06-01,188.05852010479
2016-07-01,188.685794309786
2016-08-01,189.503259975531
2016-09-01,190.28546489815
2016-10-01,191.201122574335
2016-11-01,192.43817850111301
2016-12-01,193.749139523824
2017-01-01,195.004779687421
2017-02-01,195.980149329819
2017-03-01,196.81851531110698
2017-04-01,197.397670617385
2017-05-01,198.11003195173998
2017-06-01,198.77072621508202
2017-07-01,199.84575360608997
2017-08-01,200.82873355339402
2017-09-01,202.16825031095502
2017-10-01,203.35937135410597
2017-11-01,204.660282656002
2017-12-01,205.83259721325803
2018-01-01,207.26902974907298
2018-02-01,208.92108883297502
2018-03-01,209.837036348896
2018-04-01,210.286211511846
2018-05-01,210.82563192224097
2018-06-01,211.347929875574
